editor, executeCount200804, userCount200804, executeCount200805, userCount200805, executeCount200806, userCount200806, executeCount200807, userCount200807, executeCount200808, userCount200808, executeCount200809, userCount200809, executeCount200810, userCount200810, executeCount200811, userCount200811, executeCount200812, userCount200812, executeCount200901, userCount200901
org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor, 2, 1, 63, 4, 122, 2, 532, 52, 1077, 64, 1167, 88, 2637, 163, 3502, 180, 2986, 197, 3373, 200
org.eclipse.am3.tools.tge, 90, 4, 0, 0, 5, 2, 117, 6, 517, 2, 84, 2, 76, 4, 69, 5, 137, 6, 38, 3
org.eclipse.ant.ui.internal.editor.AntEditor, 792, 80, 2180, 186, 1588, 156, 25602, 2914, 35560, 3934, 40670, 4835, 57184, 6390, 60837, 7026, 64723, 7324, 65464, 7484
org.eclipse.atf.mozilla.ide.ui.MozBrowserEditor, 185, 1, 0, 0, 0, 0, 41, 3, 3, 1, 6, 2, 269, 7, 60, 5, 0, 0, 3, 2
org.eclipse.birt.report.designer.ui.editors.LibraryEditor, 9, 1, 7, 2, 5, 2, 158, 28, 307, 37, 253, 29, 402, 45, 476, 59, 430, 46, 373, 56
org.eclipse.birt.report.designer.ui.editors.ReportEditor, 216, 5, 389, 13, 457, 19, 9883, 305, 12136, 362, 14118, 399, 15239, 483, 17873, 504, 17907, 533, 21222, 566
org.eclipse.cdt.debug.ui.SourceNotFoundEditor, 15, 4, 23, 11, 14, 8, 815, 291, 1018, 358, 1177, 371, 1984, 603, 2371, 724, 2136, 672, 2024, 666
org.eclipse.cdt.make.editor, 57, 10, 203, 26, 361, 28, 6638, 853, 7592, 1075, 9689, 1290, 13227, 1845, 13860, 2025, 14667, 2051, 13473, 1926
org.eclipse.cdt.ui.binaryEditor, 4, 2, 15, 7, 27, 9, 578, 297, 675, 371, 906, 418, 1620, 729, 1739, 802, 1519, 751, 1439, 685
org.eclipse.cdt.ui.editor.CEditor, 3461, 53, 12811, 135, 13398, 130, 202931, 3354, 271898, 4352, 318749, 5538, 505254, 8325, 589054, 9303, 588579, 9269, 562239, 8998
org.eclipse.compare.CompareEditor, 1922, 138, 4165, 288, 3925, 290, 38331, 4320, 49840, 5706, 62523, 7041, 89089, 9371, 101770, 10863, 111340, 11725, 115710, 12309
org.eclipse.datatools.sqltools.data.internal.ui.editor.tableDataEditor, 14, 4, 26, 9, 31, 13, 1012, 220, 1087, 238, 1271, 239, 1660, 300, 1860, 339, 1876, 344, 1875, 342
org.eclipse.datatools.sqltools.sqleditor.SQLEditor, 4, 1, 18, 2, 22, 4, 630, 64, 360, 66, 575, 83, 835, 120, 1119, 134, 1106, 134, 968, 121
org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor, 362, 42, 1226, 76, 721, 62, 10754, 1262, 14712, 1804, 18019, 2183, 27026, 2970, 29741, 3366, 31714, 3663, 32689, 3576
org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor, 100, 26, 348, 65, 174, 57, 3201, 1194, 4462, 1683, 6790, 2418, 11622, 4030, 13307, 4643, 14165, 4896, 13591, 4766
org.eclipse.dltk.ruby.ui.editor.RubyEditor, 79, 2, 14, 2, 112, 3, 1495, 50, 1911, 73, 2089, 90, 3094, 104, 4865, 125, 4792, 126, 5613, 136
org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID, 54, 6, 160, 15, 179, 21, 1438, 148, 836, 107, 1413, 145, 1768, 207, 1953, 222, 1725, 216, 1471, 184
org.eclipse.emf.ecore.presentation.EcoreEditorID, 108, 9, 223, 20, 273, 23, 2426, 185, 2073, 155, 2259, 185, 3504, 260, 3916, 301, 2944, 300, 3182, 276
org.eclipse.emf.ecore.presentation.ReflectiveEditorID, 2, 1, 44, 7, 60, 10, 905, 85, 790, 80, 661, 87, 927, 108, 1429, 153, 1122, 131, 1320, 142
org.eclipse.gmf.gmfgraph.presentation.GMFGraphEditorID, 26, 3, 4, 2, 1, 1, 56, 7, 108, 5, 90, 6, 11, 6, 47, 8, 51, 10, 141, 9
org.eclipse.gmf.mappings.presentation.GMFMapEditorID, 24, 2, 110, 4, 50, 4, 662, 52, 396, 26, 514, 23, 956, 54, 1437, 68, 1231, 63, 973, 71
org.eclipse.gmf.tooldef.presentation.GMFToolEditorID, 5, 1, 4, 2, 7, 2, 137, 33, 59, 17, 68, 18, 146, 36, 249, 53, 349, 46, 220, 45
org.eclipse.gmf.xpand.XpandEditor, 5, 1, 2, 1, 3, 1, 14, 3, 5, 2, 13, 5, 44, 5, 8, 3, 16, 5, 11, 5
org.eclipse.jdt.debug.ui.SnippetEditor, 15, 3, 10, 4, 84, 9, 678, 116, 735, 158, 1011, 199, 1572, 313, 1475, 311, 1762, 321, 1707, 326
org.eclipse.jdt.ui.ClassFileEditor, 2288, 222, 5644, 426, 4644, 451, 50972, 7177, 63847, 9603, 76955, 12386, 106230, 17794, 119406, 20524, 123773, 21226, 121012, 20846
org.eclipse.jdt.ui.CompilationUnitEditor, 46149, 539, 110633, 1111, 98859, 1046, 1338150, 23771, 1878059, 31622, 2591609, 45165, 4289467, 66759, 5047873, 77309, 5127185, 79429, 4884697, 78783
org.eclipse.jdt.ui.PropertiesFileEditor, 922, 125, 2372, 268, 1971, 251, 28175, 4450, 40299, 6194, 51620, 7600, 69692, 10076, 78996, 11480, 82397, 12188, 84399, 12258
org.eclipse.jem.beaninfo.OverrideEditor, 2, 1, 0, 0, 0, 0, 7, 1, 15, 2, 0, 0, 0, 0, 5, 2, 4, 2, 2, 1
org.eclipse.jpt.ui.internal.editors.PersistenceEditor, 19, 5, 144, 21, 212, 33, 2914, 555, 3074, 649, 3189, 714, 4902, 996, 5367, 1152, 5671, 1225, 5834, 1236
org.eclipse.jst.jsf.facesconfig.ui.FacesConfigEditor, 115, 12, 258, 35, 262, 24, 2976, 492, 3988, 705, 4378, 790, 6475, 1083, 6761, 1141, 7590, 1157, 6527, 1054
org.eclipse.jst.jsp.core.cssjspsource.source, 61, 2, 69, 2, 2, 1, 86, 9, 125, 12, 727, 20, 737, 25, 524, 32, 1112, 37, 724, 29
org.eclipse.jst.jsp.core.jspsource.source, 2671, 106, 11830, 242, 6364, 216, 130019, 6063, 197807, 8523, 258401, 10477, 373548, 13938, 422967, 16096, 485746, 17152, 440971, 16843
org.eclipse.jst.pagedesigner.PageDesignerEditor, 129, 8, 440, 29, 409, 27, 6167, 546, 7584, 647, 9779, 778, 13363, 1043, 16625, 1122, 20356, 1141, 14132, 992
org.eclipse.m2m.atl.adt.editor.AtlEditor, 11, 1, 174, 2, 23, 2, 430, 12, 217, 9, 303, 17, 669, 24, 409, 31, 409, 27, 695, 31
org.eclipse.m2m.qvt.oml.editor.ui.QvtEditor, 11, 3, 57, 5, 40, 3, 264, 9, 176, 7, 138, 12, 97, 18, 51, 15, 157, 15, 126, 20
org.eclipse.mylyn.tasks.ui.editors.category, 3, 1, 1, 1, 1, 1, 24, 16, 5, 5, 14, 10, 19, 13, 12, 10, 9, 8, 17, 13
org.eclipse.mylyn.tasks.ui.editors.task, 330, 31, 1485, 85, 920, 70, 8169, 989, 9657, 1049, 10933, 1191, 12765, 1346, 12403, 1375, 11853, 1403, 12070, 1388
org.eclipse.pde.ui.buildEditor, 51, 15, 194, 50, 140, 36, 2034, 557, 2804, 698, 3373, 851, 4632, 1231, 5099, 1339, 4873, 1255, 5147, 1259
org.eclipse.pde.ui.featureEditor, 111, 13, 259, 23, 181, 20, 819, 137, 705, 125, 911, 145, 1333, 175, 1236, 173, 1381, 177, 1079, 177
org.eclipse.pde.ui.manifestEditor, 1137, 84, 2340, 169, 2159, 160, 15631, 1314, 13786, 1320, 15050, 1479, 20864, 1978, 22422, 2105, 21793, 2124, 22260, 2124
org.eclipse.pde.ui.productEditor, 182, 16, 372, 34, 161, 24, 1956, 274, 1604, 246, 1800, 290, 2593, 376, 3345, 424, 3029, 420, 3159, 404
org.eclipse.pde.ui.schemaEditor, 9, 3, 42, 11, 40, 9, 393, 67, 368, 61, 295, 61, 430, 74, 362, 86, 464, 89, 379, 97
org.eclipse.pde.ui.siteEditor, 31, 9, 39, 9, 39, 6, 275, 57, 328, 60, 416, 78, 465, 80, 408, 85, 511, 99, 301, 79
org.eclipse.pde.ui.targetEditor, 5, 2, 10, 3, 47, 6, 97, 24, 90, 31, 106, 29, 92, 33, 110, 30, 171, 32, 165, 44
org.eclipse.pde.ui.tocEditor, 1, 1, 35, 3, 26, 3, 159, 20, 72, 15, 147, 18, 162, 20, 214, 30, 237, 32, 122, 33
org.eclipse.php.editor, 326, 3, 536, 10, 515, 10, 11478, 339, 17473, 433, 21421, 491, 27064, 677, 31999, 684, 44990, 1040, 67727, 1404
org.eclipse.ui.browser.editor, 411, 79, 2829, 190, 2115, 173, 43072, 3781, 60470, 4922, 74499, 5851, 110559, 8414, 127458, 9585, 130189, 9745, 119424, 9643
